ID,Game,Away Team,Home Team,Pick Type,Pick Team,Pick Description,Odds,Confidence,Result,Status,Start Time,Settled At,League,Market Type,Reasoning,Created At,Last Updated,Graded At,Notes
2025_03_GB_CLE_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 41.5 with 72.4% confidence,,,,
2025_03_HOU_JAX_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 68.3% confidence (FPI-adjusted),,,,
2025_03_HOU_JAX_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 43.5 with 62.8% confidence,,,,
2025_03_IND_TEN_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 69.4% confidence (FPI-adjusted),,,,
2025_03_IND_TEN_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 43.5 with 71.3% confidence,,,,
2025_03_KC_NYG_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 67.1% confidence (FPI-adjusted),,,,
2025_03_KC_NYG_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts KC covers with 59.2% confidence,,,,
2025_03_KC_NYG_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 66.8% confidence,,,,
2025_03_LA_PHI_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 59.4% confidence (FPI-adjusted),,,,
2025_03_LA_PHI_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts LA covers with 50.1% confidence,,,,
2025_03_LA_PHI_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 45.5 with 73.6% confidence,,,,
2025_03_LV_WAS_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 65.3% confidence (FPI-adjusted),,,,
2025_03_LV_WAS_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 43.5 with 63.7% confidence,,,,
2025_03_MIA_BUF_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 53.1% confidence (FPI-adjusted),,,,
